"","TimeStep","X10Trial_Prey","X10Trial_Predator","X20Trial_Prey","X20Trial_Predator","X30Trial_Prey","X30Trial_Predator","X40Trial_Prey","X40Trial_Predatory","X50Trial_Prey","X50Trial_Predator","X60Trial_Prey","X60Trial_Predator","X70Trial_Prey","X70Trial_Predator","X80Trial_Prey","X80Trial_Predator","X90Trial_Prey","X90Trial_Predator","X100Trial_Prey","X100Trial_Predator"
"52",52,1.50103408265907,31.0400255920337,2.78528388748784,22.5689462904416,4.22730850852336,18.7145332420672,5.51664202741722,16.3806305957433,6.48602950652752,14.7656104542971,7.06473640930378,13.5604165459807,7.25417778374215,12.6200670380639,7.10372402011328,11.8674053520785,6.68856984813622,11.2570574339382,6.09182436004243,10.7598214831186
"53",53,1.33531953578836,29.5346164487723,2.71373144038195,21.5033598983799,4.2816491541557,17.857918685571,5.71630968109993,15.6519651411362,6.8255335569484,14.1231001166707,7.51967600618739,12.9781964871793,7.78953124112198,12.0806118960976,7.68144109957613,11.3583378569306,7.2733476684497,10.7694981771727,6.65471980584522,10.2873773515833
"54",54,1.20800193968541,28.0973237766598,2.67293429015752,20.4865462472909,4.37336556063627,17.0414840937275,5.96485681867476,14.9588383639439,7.2266633305933,13.5133428046116,8.04769288014259,12.4268784955486,8.40641445158116,11.5706836050692,8.34524528712038,10.8776693673211,7.94471415756652,10.3093535727713,7.30106762889642,9.84146809781587
"55",55,1.11018611140075,26.7263992094489,2.65992922867621,19.5169781268777,4.50275227638714,16.2639385286788,6.26555489226347,14.3001237747613,7.69543220751373,12.9353320433009,8.65715444026087,11.9055422723622,9.11501772317413,11.0894173866881,9.10652615431955,10.4245627179776,8.71460831623027,9.87579076141773,8.0427489131779,9.42124791707486
"56",56,1.03551056158008,25.4197505261866,2.67277726866029,18.5930430011089,4.67097786933427,15.5239740884779,6.62268376594687,13.6747157965002,8.23908894080746,12.3881084119567,9.35790414684411,11.413333276891,9.92721890761558,10.636026753373,9.97851585479739,9.99826613511729,9.59689349648832,9.46806487164565,8.89357138135515,9.02595825266695
"57",57,0.979388472470128,24.1750854200198,2.71038209550647,17.7130859137421,4.88005204908714,14.8202875234654,7.04158733604206,13.0815433249846,8.86623945882418,11.8707697183734,10.1614361882016,10.9494714918476,10.8568010302588,10.2098115815923,10.9765404542593,9.59812068551118,10.6076320938757,9.08552563825439,9.86955561757393,8.65493334403883
"58",58,0.938498167150672,22.9900079490002,2.77236620544003,16.8754408489717,5.13282471393509,14.1515969217891,7.5287565051195,12.5195809885485,9.58699648175245,11.3824803193383,11.0810998672525,10.5132602731141,11.9197023073328,9.8101668954105,12.1183069452174,9.223568811225,11.7653993791501,8.72762526969175,10.9892632810348,8.30760702284227
"59",59,0.910436997351646,21.8620836318731,2.85899042741212,16.0784537084347,5.43301299250404,13.5166547421214,8.09193903805435,11.9878588159299,10.4131577903518,10.9224801021465,12.1323349705351,10.1040957464752,13.1343000790139,9.43659281961852,13.4242279544133,8.87416440864851,13.0916392856852,8.39392800313665,12.2741711291479,7.98352115250955
"60",60,0.893483899045444,20.7888835000571,2.9711070604945,15.320499168253,5.78525398271348,12.9142581658445,8.74027661831215,11.4854708978687,11.3584142607659,10.4900936058048,13.3329392229361,9.72147723332205,14.5217296766533,9.08870622045393,14.9177854860296,8.54958499414272,14.6110643667515,8.08412188058689,13.7490943065868,7.68233619972314
"61",61,0.886435351990208,19.7680138577407,3.11014004010244,14.5999930530894,6.19518214437876,12.34325752104,9.48447001458511,11.0115835457143,12.4385888248296,10.0847397543235,14.7033684164329,9.36501923676499,16.1062382635444,8.76625464427519,16.6259338338636,8.24964661937278,16.3521009886426,7.79803341170347,15.4426615188552,7.40384455464189
